name
REGION IV-A (CALABARZON)
REGION V (Bicol Region)
NCR - National Capital Region
REGION I (Ilocos Region)
REGION VIII (Eastern Visayas)
REGION IV-B (MIMAROPA)
CAR - Cordillera Administrative Region
REGION VII (Central Visayas)
REGION VI (Western Visayas)
REGION XI (Davao Region)
REGION IX (Zamboanga Peninsula)
REGION XII (Soccsksargen)
REGION XIII (Caraga)
REGION III (Central Luzon)
ARMM - Autonomous Region in Muslim Mindanao
REGION X (Northern Mindanao)
REGION II (Cagayan Valley)
